subject	order	chapter	weight
math	1	高数-函数极限	12.5
math	2	高数-一元微分	12.5
math	3	高数-一元积分	12.5
math	4	高数-微分方程	12.5
math	5	高数-多元微分	12.5
math	6	高数-重积分	12.5
math	7	高数-级数	12.5
math	8	线代-矩阵	12.5
math	9	线代-向量组	12.5
math	10	概率-随机变量	12.5
math	11	概率-数字特征	12.5
math	12	概率-大数定律	12.5
english	1	词汇基础	10
english	2	长难句	10
english	3	阅读方法论	10
english	4	阅读真题基础	10
english	5	阅读真题强化	10
english	6	写作框架	10
english	7	翻译	10
english	8	完形填空	10
english	9	新题型	10
english	10	整卷模拟	10
politics	1	马原-唯物辩证法	10
politics	2	马原-认识论	10
politics	3	毛中特-理论体系	10
politics	4	毛中特-新时代	10
politics	5	史纲-旧民主主义	10
politics	6	史纲-新民主主义	10
politics	7	思修-理想信念	10
politics	8	思修-法治观	10
politics	9	时政-上半年	10
politics	10	时政-全年盘点	10
major	1	数据结构-线性表	18.75
major	2	数据结构-树与图	18.75
major	3	组成原理-CPU	18.75
major	4	组成原理-存储	18.75
major	5	操作系统-进程	18.75
major	6	操作系统-内存	18.75
major	7	网络-TCP	18.75
major	8	网络-路由	18.75
