# 报价单账本(小陈 · 89㎡ 老房翻新 · A 公司「全包 93,002 拎包入住」) ·
# item/qty/unit/unit_price/amount/est/note
# est: fixed=总价包干 open=按实结算(开口)——开口条目是量差的定时炸弹
# 全部金额 = qty × unit_price,逐字节可复现
item	qty	unit	unit_price	amount	est	note
墙体拆除(含切割下楼)	42	㎡	75	3150	fixed	老房非承重墙
新砌墙(轻体砖)	18	㎡	120	2160	fixed	包料
水电改造(按实结算)	280	m	38	10640	open	按实结算 · 预估 280m
厨卫阳台墙地砖铺贴(含主材)	58	㎡	128	7424	fixed	主材限额内
客餐厅地砖铺贴(含主材)	46	㎡	168	7728	fixed	主材限额内
轻钢龙骨吊顶	32	㎡	140	4480	fixed	平面直线
石膏板隔墙	9	㎡	160	1440	fixed	—
墙面乳胶漆(两底两面)	240	㎡	48	11520	fixed	—
实木复合门(含五金)	4	樘	1580	6320	fixed	—
卫生间洁具套装	2	套	2600	5200	fixed	—
橱柜地柜吊柜	4.2	延米	1580	6636	fixed	双饰面
厨卫集成吊顶	8	㎡	220	1760	fixed	含扣板
卧室强化地板	38	㎡	168	6384	fixed	12mm
背景墙木作	1	项	6800	6800	fixed	按图
开关插座面板	60	个	28	1680	fixed	—
灯具主材	1	项	3200	3200	fixed	—
卫生间回填	6	㎡	130	780	fixed	陶粒
包下水管隔音	3	根	280	840	fixed	—
窗台石门槛石	12	m	190	2280	fixed	—
强弱电箱更换	1	项	980	980	fixed	—
五金灯具安装人工	1	项	1600	1600	fixed	—
