# 报价单账本(同一间 89㎡ · B 公司「全包 130,012」——签约时被嫌贵的那份) ·
# item/qty/unit/unit_price/amount/est/note
# 对照用途:比 A 公司贵 37,010,但常识清单全覆盖、无诱饵×开口
item	qty	unit	unit_price	amount	est	note
墙体拆除(含切割下楼)	42	㎡	75	3150	fixed	老房非承重墙
新砌墙(轻体砖)	18	㎡	120	2160	fixed	包料
水电改造(按实结算)	280	m	55	15400	open	按实结算 · 预估 280m
厨卫阳台墙地砖铺贴(含主材)	58	㎡	145	8410	fixed	—
客餐厅地砖铺贴(含主材)	46	㎡	185	8510	fixed	—
轻钢龙骨吊顶	32	㎡	150	4800	fixed	—
石膏板隔墙	9	㎡	170	1530	fixed	—
墙面找平(耐水石膏)	240	㎡	42	10080	fixed	冲筋找平
墙面乳胶漆	240	㎡	45	10800	fixed	—
卫生间防水(两遍+闭水)	14	㎡	70	980	fixed	含闭水试验 2 次
闭水试验	2	次	150	300	fixed	物业记录
实木复合门(含五金)	4	樘	1880	7520	fixed	—
卫生间洁具套装	2	套	2900	5800	fixed	—
橱柜地柜吊柜	4.2	延米	1720	7224	fixed	—
厨卫集成吊顶	8	㎡	240	1920	fixed	—
卧室三层实木地板	38	㎡	185	7030	fixed	—
背景墙木作	1	项	6800	6800	fixed	按图
开关插座面板	60	个	32	1920	fixed	—
灯具主材	1	项	3200	3200	fixed	—
卫生间回填	6	㎡	130	780	fixed	陶粒
包下水管隔音	3	根	280	840	fixed	—
窗台石门槛石	12	m	210	2520	fixed	—
强弱电箱更换	1	项	980	980	fixed	—
五金灯具安装人工	1	项	1600	1600	fixed	—
垃圾清运(含外运)	1	项	2400	2400	fixed	—
成品保护	1	项	1200	1200	fixed	—
材料搬运上楼	1	项	800	800	fixed	—
开荒保洁	89	㎡	7	623	fixed	按建面
管理费	1	项	7157	7157	fixed	合同额 6%
增值税票	1	项	3578	3578	fixed	合同额 3%
