date	start	mins	source	strength	rec	note
2026-07-06	19:40	25	脚步	3	-	晚饭后孩子跑跳
2026-07-08	20:15	30	脚步	3	-	晚间跑跳
2026-07-09	22:47	44	拖动	4	Y	深夜拖桌椅 惊醒
2026-07-11	09:40	95	装修	5	Y	隔壁开工 第一个休息日也在施工
2026-07-13	10:05	100	装修	4	-	工作日上午 合法时段
2026-07-15	23:50	30	拖动	4	Y	跨午夜 结束于次日 00:20 归属开始日
2026-07-16	22:30	35	装修	4	Y	夜间电钻
2026-07-18	09:40	70	装修	5	Y	又一个休息日 上午电钻
2026-07-20	10:10	90	装修	3	-	工作日上午 合法时段
2026-07-21	22:47	44	拖动	4	-	深夜拖桌椅
2026-07-23	19:50	30	脚步	3	-	晚间跑跳
2026-07-24	22:05	40	装修	5	Y	晚上电钻 夜间+禁令时段
2026-07-25	09:40	60	装修	5	Y	周六上午电钻
2026-07-27	10:00	45	装修	3	-	工作日上午 合法时段
2026-07-27	23:30	40	棋牌	4	-	楼下棋牌室散场喧哗
2026-07-28	19:30	12	脚步	2	-	晚间跑跳 较轻
2026-07-30	22:47	40	拖动	4	Y	深夜拖桌椅
2026-08-01	11:20	12	宠物	2	-	物业上门调解 楼上加装隔音垫 当日仅此动静
2026-08-03	21:30	15	脚步	2	-	隔音垫后 唯一一次晚间跑动
