applied,company,role,channel,outcome,replied
2025-09-19,Meld Bank,Backend Engineer,referral,rejected,2025-10-01
2025-09-12,Cloudveil,Backend Engineer,referral,rejected,
2025-10-09,Portmill Logistics,Backend Engineer,referral,response,2025-10-15
2025-10-20,Cratewise,Backend Engineer,referral,response,2025-10-24
2025-10-20,Corvid Systems,Backend Engineer,referral,interview,2025-10-23
2025-10-27,Baize AI,Platform Engineer,referral,interview,2025-10-30
2025-10-27,Thousand Sail,Data Engineer,referral,rejected,2025-11-13
2025-11-03,Northstar Nav,Data Platform Engineer,referral,rejected,2025-11-05
2025-11-03,Hexagram Tech,Senior Backend Engineer,referral,offer,2025-11-06
2025-11-05,Umbral Insurance,Backend Engineer,referral,rejected,2025-11-06
2025-10-31,Hexagram Tech,Staff Engineer,referral,withdrawn,
2025-11-24,Forge Works,Embedded Backend Engineer,referral,pending,
2025-09-22,Northwind,Platform Engineer,recruiter,interview,2025-09-26
2025-10-06,Atlas Retail,Senior Backend Engineer,recruiter,response,2025-10-16
2025-11-17,Halcyon Health,Backend Engineer,recruiter,pending,
2025-09-29,BlueCrane,Backend Engineer,board,interview,2025-10-04
2025-10-13,Cedarstone Data,Senior Backend Engineer,board,interview,2025-10-20
2025-09-10,Quadranet,Backend Engineer,board,response,2025-09-18
2025-10-08,FarGaze Tech,Backend Engineer,board,response,2025-10-22
2025-10-22,Changfeng Info,Backend Engineer,board,response,2025-10-28
2025-11-12,Meridian,Platform Engineer,board,response,2025-11-14
2025-09-12,Quartzline,Backend Engineer,board,rejected,2025-10-05
2025-09-24,Fleetwise,Backend Engineer,board,rejected,2025-10-13
2025-10-15,Datong Securities,Quant Developer,board,rejected,2025-10-24
2025-10-30,Tangerine Interactive,Backend Engineer,board,rejected,2025-11-06
2025-09-08,Deepgaze,Backend Engineer,board,rejected,
2025-09-09,Ninefold Cloud,Backend Engineer,board,rejected,
2025-09-11,Azure Tide,Backend Engineer,board,rejected,
2025-09-15,Starloom,Senior Backend Engineer,board,rejected,
2025-09-16,Flywheel Soft,Backend Engineer,board,rejected,
2025-09-17,Bedrock Systems,Backend Engineer,board,rejected,
2025-09-18,Greenwing Net,Platform Engineer,board,rejected,
2025-09-20,Playlight Games,Backend Engineer,board,rejected,
2025-09-21,Hoshi Tech,Backend Engineer,board,rejected,
2025-09-23,Chengtian Data,Data Engineer,board,rejected,
2025-09-25,Lucid Cloud,Backend Engineer,board,rejected,
2025-09-28,Curvature Compute,Backend Engineer,board,rejected,
2025-09-30,Bamboo Net,Backend Engineer,board,rejected,
2025-10-06,Lantern Works,Backend Engineer,board,rejected,
2025-10-07,Iron Peak,Site Reliability Engineer,board,rejected,
2025-10-09,Sable Analytics,Backend Engineer,board,rejected,
2025-10-10,Kite & Anchor,Backend Engineer,board,rejected,
2025-10-14,Redwood Ops,Platform Engineer,board,rejected,
2025-10-16,Nimbus Nine,Backend Engineer,board,rejected,
2025-10-18,Parallel Ports,Backend Engineer,board,rejected,
2025-10-21,Quanta Bloom,Data Engineer,board,rejected,
2025-10-24,Riverbend Systems,Backend Engineer,board,rejected,
2025-10-29,Sableframe,Senior Backend Engineer,board,rejected,
2025-11-01,Tidewell,Backend Engineer,board,rejected,
2025-11-04,Umber Labs,Backend Engineer,board,rejected,
2025-11-08,Vantile,Backend Engineer,board,rejected,
2025-11-11,Wrenfield,Backend Engineer,board,rejected,
2025-11-15,Xenon Forge,Backend Engineer,board,rejected,
2025-10-21,Solango,Backend Engineer,board,pending,
2025-10-28,Clearharbor,Senior Backend Engineer,board,pending,
2025-11-03,Gale Studio,Backend Engineer,board,pending,
2025-11-05,Yearbase,Backend Engineer,board,pending,
2025-11-13,Slowbull Finance,Risk Data Engineer,board,pending,
2025-11-21,Forager Community,Backend Engineer,board,pending,
2025-11-26,Stargaze Observatory,Backend Engineer,board,pending,
2025-09-16,Auroracloud,Backend Engineer,careers,rejected,
2025-09-30,Auroracloud,Senior Backend Engineer,careers,rejected,
2025-10-16,Obsidian Energy,Backend Engineer,careers,rejected,
2025-10-25,Auroracloud,Platform Engineer,careers,rejected,
2025-11-06,Auroracloud,Backend Engineer,careers,response,2025-11-13
2025-11-08,Auroracloud,Site Reliability Engineer,careers,pending,
2025-11-10,Auroracloud,Data Engineer,careers,pending,
2025-11-19,Obsidian Energy,Backend Engineer,careers,pending,
2025-11-28,Auroracloud,Senior Platform Engineer,careers,withdrawn,
