id	saved_at	title	tags	read_at
es1	2026-01-20	写作是一种思考方式，不是记录方式	essays	2026-03-06
ai2	2026-01-05	2026 年值得盯紧的 10 个 AI 工作流	ai-tools	
ai3	2026-01-12	用 Agent 重塑你的信息摄入管道	ai-tools	
ca3	2026-02-01	晋升答辩的三个常见结构错误	career	
es2	2026-02-10	论长文：为什么深度阅读仍然不可替代	essays	2026-04-11
ca4	2026-02-20	从 E2 到 E5：一份诚实的成长复盘	career	
ai5	2026-02-08	Cursor 进阶：自定义规则文件实战	ai-tools	
ai4	2026-01-25	本地跑一个大模型需要知道的事	ai-tools	
ca1	2026-02-15	跳槽谈判：薪酬包的隐藏维度	career	2026-05-16
ai6	2026-02-16	把笔记接到 LLM 上的三种姿势	ai-tools	
ca5	2026-03-01	管理入门：第一次带人必读	career	
ai7	2026-02-25	AI 编程助手横评：七个维度	ai-tools	
ai8	2026-03-01	RAG 已死？检索增强的下一步	ai-tools	
es3	2026-03-05	慢媒体宣言：对抗算法Feed	essays	2026-04-08
es4	2026-03-22	技术写作的诚实：承认未知	essays	2026-04-18
ai1	2026-04-02	向量数据库选型的十个坑	ai-tools	2026-04-11
es5	2026-04-12	数字极简主义实践了一年之后	essays	2026-05-02
es6	2026-05-02	工具不会拯救你（但会用工具会）	essays	2026-05-18
es7	2026-05-20	注意力是你唯一真正拥有的资产	essays	2026-06-01
es8	2026-06-10	收藏不是学习：论「稍后读」的心理学	essays	2026-06-19
ai9	2026-06-12	用 MCP 把命令行变成 AI 的手脚	ai-tools	
ca6	2026-06-20	面试里如何聊失败项目	career	
ca2	2026-06-15	内向者的技术演讲手册	career	2026-06-23
ai10	2026-06-28	自动化你的周报：一个可复制的流程	ai-tools	
dw1	2026-07-10	Maker's Schedule, Manager's Schedule（重读）	deep-work	2026-07-12
es9	2026-06-25	好品味是可以训练的吗	essays	
ai11	2026-07-06	个人知识库的三次范式转移	ai-tools	
dw2	2026-07-18	深度工作守则：环境设计清单	deep-work	2026-07-21
es10	2026-07-08	论「够了」：软件的第二种完美	essays	
ai12	2026-07-14	多智能体系统的工程现实	ai-tools	
dw3	2026-07-25	上下文切换的真实代价（研究综述）	deep-work	2026-07-26
ca7	2026-07-30	转管理前的自问清单	career	
dw4	2026-08-02	防御性时间块：日历上的护城河	deep-work	2026-08-06
ai13	2026-08-03	提示词工程已过时的七个信号	ai-tools	
es11	2026-08-05	阅读的复利：一年 100 篇长文之后	essays	
dw5	2026-08-15	专注力训练八周计划	deep-work	2026-08-17
ai14	2026-08-18	把 AI 当结对程序员而不是搜索框	ai-tools	
dw6	2026-08-24	笔记的保鲜期与知识半衰期	deep-work	2026-08-29
es12	2026-08-28	慢即是快：一个反直觉的产出模型	essays	
dw7	2026-09-01	心流触发清单（打印贴墙版）	deep-work	2026-09-04
ai15	2026-09-02	AI 时代的职业护城河速成？	ai-tools;career	
