# 小满 · 自由插画师 · 月度现金流账本（2024-10 ~ 2026-09，共 24 个月）
# 列: month 收入月份 / income 当月总进账(税前) / spend 当月总生活支出 / cash 月底现金余额 / tax_paid 当月实际缴税
# 收入结构: 专栏稿费 ~2800/月(稳定小流) + 平台约稿(波动中额) + 出版/品牌项目(不定期尖峰)
# 剧情线: 2025-06 买 iPad+笔 9200(设备尖峰月)；2026-05 补缴上年税 7800(税没预留的痛)；
#         2024-11/2025-10 电商旺季大单；2025-01/2026-01 春节双空窗(收入 3600/3400, 支出反高)
month	income	spend	cash	tax_paid
2024-10	9600	8900	18700	0
2024-11	21400	9400	30700	0
2024-12	17800	12200	36300	0
2025-01	3600	9800	30100	0
2025-02	3200	8100	25200	0
2025-03	12600	8600	29200	0
2025-04	9400	8200	30400	0
2025-05	6800	8900	28300	0
2025-06	15600	17800	26100	0
2025-07	8200	8300	26000	0
2025-08	4400	8500	21900	0
2025-09	18900	8700	32100	0
2025-10	23800	9600	46300	0
2025-11	11200	9200	48300	0
2025-12	8600	13800	43100	0
2026-01	3400	10400	36100	0
2026-02	2900	7800	31200	0
2026-03	15200	8400	38000	0
2026-04	7600	8900	36700	0
2026-05	5800	16600	25900	7800
2026-06	13400	9100	30200	0
2026-07	6200	8700	27700	0
2026-08	4300	8900	23100	0
2026-09	10800	9200	24700	0
