month	scheme	base	personal	company	note
2024-10	social	5500	577.50		入职 A 公司
2024-10	fund	5500	660.00	660.00	入职 A 公司
2024-11	social	5500	577.50		
2024-11	fund	5500	660.00	660.00	
2024-12	social	5500	577.50		
2024-12	fund	5500	660.00	660.00	
2025-01	social	5500	577.50		
2025-01	fund	5500	660.00	660.00	
2025-02	social	5500	577.50		
2025-02	fund	5500	660.00	660.00	
2025-03	social	5500	577.50		
2025-03	fund	5500	660.00	660.00	
2025-04	social	5500	577.50		
2025-04	fund	5500	660.00	660.00	
2025-05	social	5500	577.50		
2025-05	fund	5500	660.00	660.00	
2025-06	social	5500	577.50		
2025-06	fund	5500	660.00	660.00	
2025-07	social	5500	577.50		
2025-07	fund	5500	660.00	660.00	
2025-08	social	5500	577.50		
2025-08	fund	5500	660.00	660.00	
2025-09	social	5500	577.50		
2025-09	fund	5500	660.00	660.00	
2025-10	social	5500	577.50		
2025-10	fund	5500	660.00	660.00	
2025-11	social	5500	577.50		
2025-11	fund	5500	660.00	660.00	
2025-12	social	5500	577.50		
2025-12	fund	5500	660.00	660.00	
2026-01	social	5500	577.50		
2026-01	fund	5500	660.00	660.00	
2026-02	social	5500	577.50		
2026-02	fund	5500	660.00	660.00	
2026-03	social	5500	577.50		
2026-03	fund	5500	660.00	660.00	
2026-04	social	5500	577.50		
2026-04	fund	5500	660.00	660.00	
2026-05	social	5500	577.50		2026-07 补缴 5 月
2026-06	social	15000	1575.00		入职 B 公司，足额基数
2026-06	fund	15000	1800.00	1800.00	入职 B 公司，足额基数
2026-07	social	15000	1575.00		
2026-07	fund	15000	1800.00	1800.00	
2026-08	social	15000	1575.00		
2026-08	fund	15000	1800.00	1800.00	
