日期,摘要,金额,类型
2023-09-01,房租,5200,支出
2023-09-03,超级猩猩月卡,299,支出
2023-09-05,NOTION LABS INC,4,支出
2023-09-09,盒马鲜生,231.5,支出
2023-09-10,工资-招行代发,23800,收入
2023-09-12,NETFLIX.COM 8665797172,62,支出
2023-09-15,滴滴出行,23.5,支出
2023-09-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2023-09-20,平安车险-自动续保,2200,支出
2023-09-25,ICLOUD+ STORAGE 50GB,6,支出
2023-10-01,房租,5200,支出
2023-10-02,滴滴出行,41,支出
2023-10-02,滴滴出行,41,支出
2023-10-03,超级猩猩月卡,299,支出
2023-10-05,NOTION LABS INC,36,支出
2023-10-08,爱奇艺季卡-自动续费,78,支出
2023-10-10,工资-招行代发,23800,收入
2023-10-12,NETFLIX.COM 8665797172,62,支出
2023-10-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2023-10-25,ICLOUD+ STORAGE 50GB,6,支出
2023-11-01,房租,5200,支出
2023-11-03,超级猩猩月卡,299,支出
2023-11-05,NOTION LABS INC,36,支出
2023-11-10,工资-招行代发,23800,收入
2023-11-12,NETFLIX.COM 8665797172,62,支出
2023-11-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2023-11-20,滴滴出行,18.6,支出
2023-11-25,ICLOUD+ STORAGE 50GB,6,支出
2023-12-01,房租,5200,支出
2023-12-02,盒马鲜生,89,支出
2023-12-03,超级猩猩月卡,299,支出
2023-12-05,NOTION LABS INC,36,支出
2023-12-10,工资-招行代发,23800,收入
2023-12-12,NETFLIX.COM 8665797172,62,支出
2023-12-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2023-12-25,ICLOUD+ STORAGE 50GB,6,支出
2024-01-01,房租,5200,支出
2024-01-03,超级猩猩月卡,299,支出
2024-01-05,NOTION LABS INC,36,支出
2024-01-05,滴滴出行,66.2,支出
2024-01-08,爱奇艺季卡-自动续费,78,支出
2024-01-10,工资-招行代发,23800,收入
2024-01-12,NETFLIX.COM 8665797172,62,支出
2024-01-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2024-01-25,ICLOUD+ STORAGE 50GB,6,支出
2024-02-01,房租,5200,支出
2024-02-01,滴滴出行,29.9,支出
2024-02-03,超级猩猩月卡,299,支出
2024-02-05,NOTION LABS INC,36,支出
2024-02-10,工资-招行代发,23800,收入
2024-02-12,NETFLIX.COM 8665797172,62,支出
2024-02-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2024-02-24,盒马鲜生,402.3,支出
2024-02-25,ICLOUD+ STORAGE 50GB,6,支出
2024-03-01,房租,5200,支出
2024-03-03,超级猩猩月卡,299,支出
2024-03-05,NOTION LABS INC,36,支出
2024-03-10,工资-招行代发,23800,收入
2024-03-12,NETFLIX.COM 8665797172,62,支出
2024-03-15,OFFICE 365 HOME (MSFT),398,支出
2024-03-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2024-03-20,平安车险-自动续保,2200,支出
2024-03-25,ICLOUD+ STORAGE 50GB,6,支出
2024-04-01,房租,5200,支出
2024-04-03,超级猩猩月卡,299,支出
2024-04-05,NOTION LABS INC,36,支出
2024-04-08,爱奇艺季卡-自动续费,78,支出
2024-04-10,工资-招行代发,23800,收入
2024-04-12,NETFLIX.COM 8665797172,62,支出
2024-04-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2024-04-25,ICLOUD+ STORAGE 50GB,6,支出
2024-05-01,房租,5200,支出
2024-05-03,超级猩猩月卡,299,支出
2024-05-05,NOTION LABS INC,36,支出
2024-05-10,工资-招行代发,23800,收入
2024-05-12,NETFLIX.COM 8665797172,62,支出
2024-05-18,盒马鲜生,156.8,支出
2024-05-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2024-05-25,ICLOUD+ STORAGE 50GB,6,支出
2024-06-01,房租,5200,支出
2024-06-03,超级猩猩月卡,299,支出
2024-06-05,NOTION LABS INC,36,支出
2024-06-10,工资-招行代发,23800,收入
2024-06-10,滴滴出行,54.3,支出
2024-06-12,NETFLIX.COM 8665797172,62,支出
2024-06-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2024-06-25,ICLOUD+ STORAGE 50GB,6,支出
2024-07-01,房租,5200,支出
2024-07-03,超级猩猩月卡,299,支出
2024-07-05,NOTION LABS INC,36,支出
2024-07-08,爱奇艺季卡-自动续费,78,支出
2024-07-10,工资-招行代发,23800,收入
2024-07-12,NETFLIX.COM 8665797172,62,支出
2024-07-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2024-07-25,ICLOUD+ STORAGE 50GB,6,支出
2024-08-01,房租,5200,支出
2024-08-03,超级猩猩月卡,299,支出
2024-08-05,NOTION LABS INC,36,支出
2024-08-10,工资-招行代发,23800,收入
2024-08-10,盒马鲜生,521,支出
2024-08-12,NETFLIX.COM 8665797172,62,支出
2024-08-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2024-08-25,ICLOUD+ STORAGE 50GB,6,支出
2024-09-01,房租,5200,支出
2024-09-03,超级猩猩月卡,299,支出
2024-09-05,NOTION LABS INC,36,支出
2024-09-10,工资-招行代发,23800,收入
2024-09-12,NETFLIX.COM 8665797172,62,支出
2024-09-18,平安车险-自动续保,2200,支出
2024-09-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2024-09-25,ICLOUD+ STORAGE 50GB,6,支出
2024-10-01,房租,5200,支出
2024-10-03,超级猩猩月卡,299,支出
2024-10-05,NOTION LABS INC,36,支出
2024-10-08,爱奇艺季卡-自动续费,78,支出
2024-10-10,工资-招行代发,23800,收入
2024-10-12,NETFLIX.COM 8665797172,62,支出
2024-10-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2024-10-25,ICLOUD+ STORAGE 50GB,6,支出
2024-11-01,房租,5200,支出
2024-11-02,盒马鲜生,78.9,支出
2024-11-03,超级猩猩月卡,299,支出
2024-11-05,NOTION LABS INC,36,支出
2024-11-10,工资-招行代发,23800,收入
2024-11-12,NETFLIX.COM 8665797172,62,支出
2024-11-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2024-11-25,ICLOUD+ STORAGE 50GB,6,支出
2024-12-01,房租,5200,支出
2024-12-03,超级猩猩月卡,299,支出
2024-12-05,NOTION LABS INC,36,支出
2024-12-10,工资-招行代发,23800,收入
2024-12-12,NETFLIX.COM 8665797172,62,支出
2024-12-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2024-12-25,ICLOUD+ STORAGE 50GB,6,支出
2025-01-01,房租,5200,支出
