# 增项镜样例 · 老陈家的 89m² 两居全包合同（2025-10-01 开工）
# 合同价 ¥89,938 —— 注意：没有防水、没有垃圾清运、没有管理费
category	item	unit	qty	price	amount
拆改	墙体拆改及渣土装袋	m²	17	112	1904
水电	水电改造（预收 100m，按实结算）	m	100	80	8000
瓦工	卫生间厨房墙地砖铺贴	m²	52	95	4940
瓦工	地面找平	m²	40	45	1800
吊顶	客厅双眼皮吊顶	m	34	88	2992
油漆	墙面基层处理及乳胶漆	m²	230	56	12880
瓷砖	墙地砖主材（含阳台）	m²	58	135	7830
地板	强化复合地板（含安装）	m²	62	178	11036
室内门	实木复合门（含门套五金）	樘	4	1580	6320
橱柜	整体橱柜（地柜+吊柜 4.2m）	m	4.2	1880	7896
卫浴洁具	马桶+花洒+浴室柜	套	2	3900	7800
灯具开关	全屋灯具及开关面板	项	1	4200	4200
封窗	阳台断桥铝封窗	m²	12	680	8160
美缝	全屋瓷砖美缝	m²	85	28	2380
保洁	开荒保洁	次	1	800	800
