种草日,品名,价位,标签,结局,结局日,后悔,备注
2025-09-05,投影仪,2499,数码,枯草,2025-09-08,,刷到评测当晚最上头 第三天就冷了
2025-09-20,香薰灯,129,家居,拔草,2025-09-21,y,当晚下单 一年没点燃超过三次
2025-10-05,人体工学椅,1299,家居,拔草,2025-11-01,n,想了27天 腰是真心疼过
2025-10-11,筋膜枪,459,健身,拔草,2025-10-12,y,直播间秒杀 手比脑子快
2025-11-05,煮茶器,359,厨房,枯草,2025-11-13,,热了八天
2025-11-28,空气炸锅,399,家居,拔草,2025-12-02,n,想了四天 确实常用
2025-12-10,电饭煲,499,厨房,拔草,2026-01-02,n,旧的一半就该换了
2026-01-08,智能戒指,1599,数码,枯草,2026-01-20,,睡眠数据焦虑作祟
2026-01-15,桌面升降架,549,家居,拔草,2026-01-17,y,到货发现桌上根本没地方升
2026-02-14,羽绒服,899,衣服,拔草,2026-03-05,y,想得太久 等到换季反而穿不上几天
2026-02-25,汉服,659,衣服,枯草,2026-03-10,,拍摄博主的院子不在我家
2026-03-08,跑步鞋(第二双),699,健身,拔草,2026-03-08,y,当晚0秒下单 第一双还在吃灰
2026-03-15,香薰机,,家居,枯草,2026-03-29,,连价位都没查就凉了
2026-04-01,露营帐篷,899,户外,枯草,2026-04-25,,春天觉得该露营 秋天也是
2026-04-19,无人机,2999,数码,拔草,2026-04-21,y,飞了两次 现在是抽屉最贵住户
2026-05-05,咖啡烘焙机,2199,厨房,枯草,2026-06-25,,手冲都懒得冲了何况烘
2026-05-12,显示器,1899,数码,拔草,2026-06-15,n,纠结一个月 确实天天在用
2026-06-05,冰丝凉席,189,家居,拔草,2026-06-07,n,夏天救命的冷静消费
2026-06-20,跑步机,2599,健身,拔草,2026-07-25,n,想了35天 现在雨天也在跑
2026-07-26,机械键盘,899,数码,,,,在长 已经开始看键帽
2026-07-30,便携榨汁杯,99,厨房,拔草,2026-08-01,y,洗它比喝它麻烦
2026-08-30,咖啡磨豆机,469,厨房,,,,新种下的 还在长
