名称,类别,季节,价格,购买日期,穿着次数,上次穿
白T 基础款A,白T,all,79,2024-03-01,24,2026-08-30
白T 基础款B,白T,all,79,2024-06-15,18,2026-08-28
白T 基础款C,白T,all,79,2025-01-20,12,2026-07-15
白T 基础款D,白T,all,79,2025-05-05,8,2026-06-20
白T 基础款E,白T,all,79,2025-09-12,3,2026-05-11
白T 基础款F,白T,all,79,2025-11-08,1,2026-04-02
白T 基础款G,白T,all,79,2026-01-10,0,
风衣 LaMode,外套,春秋,1200,2023-10-01,96,2026-08-25
羽绒服 打折购入,羽绒服,冬,1599,2025-06-01,0,
连衣裙 波点,连衣裙,夏,399,2024-05-20,3,2025-08-10
连衣裙 素色,连衣裙,夏,399,2024-08-30,1,2025-06-15
连衣裙 碎花,连衣裙,夏,399,2025-03-15,0,
连衣裙 小礼裙,连衣裙,all,399,2025-11-20,0,
牛仔裤 直筒,牛仔裤,all,299,2024-01-10,40,2026-08-31
牛仔裤 紧身,牛仔裤,all,299,2024-09-01,15,2026-07-01
牛仔裤 破洞,牛仔裤,all,299,2025-10-01,2,2026-03-01
卫衣 灰色,卫衣,all,249,2026-05-27,0,
卫衣 藏青,卫衣,all,249,2024-11-11,10,2026-02-01
婚礼衬衫,衬衫,all,699,2023-05-01,1,2025-06-01
跑鞋 缓震,鞋,all,599,2023-08-01,2,2025-01-01
通勤皮鞋,鞋,all,459,2024-04-01,30,2026-08-20
拖鞋 家用,鞋,all,39,2025-12-01,60,2026-09-01
白袜A,袜子,all,15,2023-01-01,50,2026-08-15
白袜B,袜子,all,15,2023-01-01,40,2026-08-10
黑袜A,袜子,all,15,2024-01-01,30,2026-07-30
黑袜B,袜子,all,15,2024-01-01,20,2026-06-15
羊毛袜,袜子,冬,15,2024-10-01,5,2026-01-15
船袜,袜子,夏,15,2026-06-01,0,
围巾 羊毛,配件,冬,199,2024-11-01,8,2026-01-05
帽子 棒球,配件,all,89,2025-04-01,12,2026-05-01
毛衣 高领,毛衣,冬,349,2024-10-15,20,2026-02-15
毛衣 圆领,毛衣,冬,349,2025-11-29,1,2026-01-20
