# 垫付账本 · date/item/amount(元)/repaid/category[/note]
# repaid 三态：留空=在途 · 0=自担（被拒/超标） · YYYY-MM-DD=回款日
date	item	amount	repaid	category	note
2026-03-02	差旅-杭州投标	2860	2026-03-20	差旅	机票+酒店+高铁
2026-03-18	团建-部门聚餐	1120	2026-04-10	团建	垫店主微信
2026-04-03	差旅-深圳客户	3415	2026-04-24	差旅	与上次同流程
2026-04-03	出租车-超标	287	0	差旅	财务驳回：无发票抬头
2026-04-22	采购-测试耗材	960	2026-05-18	采购	淘宝企业代付
2026-05-06	差旅-成都巡检	4230	2026-05-27	差旅	正常周期
2026-05-19	差旅-北京展会	5118	2026-06-24	差旅	遇五一顺延
2026-06-05	采购-办公椅	1350	2026-07-01	采购	行政让先垫
2026-06-20	差旅-广州交付	3870	2026-07-15	差旅	正常周期
2026-07-08	采购-项目服务器	3280		采购	财务说发票抬头错了重开，之后石沉大海
2026-08-13	差旅-西安验收	2750		差旅	已提单待审
2026-08-26	团建-季度下午茶	386		团建	刚提交
